,n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
249,18798983,The Wrath and the Dawn,Renée Ahdieh,4.15,"94,934 ratings","15,213   reviews","One Life to One Dawn.In a land ruled by a murderous boy-king, each dawn brings heartache to a new family. Khalid, the eighteen-year-old Caliph of Khorasan, is a monster. Each night he takes a new bride only to have a silk cord wrapped around her throat come morning. When sixteen-year-old Shahrzad's dearest friend falls victim to Khalid, Shahrzad vows vengeance and volunteers to be his next bride. Shahrzad is determined not only to stay alive, but to end the caliph's reign of terror once and for all.Night after night, Shahrzad beguiles Khalid, weaving stories that enchant, ensuring her survival, though she knows each dawn could be her last. But something she never expected begins to happen: Khalid is nothing like what she'd imagined him to be. This monster is a boy with a tormented heart. Incredibly, Shahrzad finds herself falling in love. How is this possible? It's an unforgivable betrayal. Still, Shahrzad has come to understand all is not as it seems in this palace of marble and stone. She resolves to uncover whatever secrets lurk and, despite her love, be ready to take Khalid's life as retribution for the many lives he's stolen. Can their love survive this world of stories and secrets?",0399171614,9780399171611,Hardcover,,404 pages,Published       May 12th 2015        by G.P. Putnam's Sons Books for Young Readers,"['Fantasy', 'Young Adult', 'Romance', 'Retellings', 'Fiction', 'Fantasy', 'Magic', 'Young Adult', 'Young Adult Fantasy', 'Historical', 'Historical Fiction', 'Fantasy', 'Fairy Tales', 'Historical']"
250,5128,The Doors of Perception & Heaven and Hell,Aldous Huxley,3.92,"34,073 ratings","1,117   reviews","As only he can, Aldous Huxley explores the mind's remote frontiers and the unmapped areas of human consciousness. These two astounding essays are among the most profound studies of the effects of mind-expanding drugs written in this century. Contains the complete texts of 
The Doors of Perception
 and 
Heaven and Hell
, both of which became essential for the counterculture during the 1960s and influenced a generation's perception of life.",0060595183,9780060595180,Paperback,,187 pages,Published       May 4th 2004        by Harper Perennial Modern Classics                       (first published 1956),"['Philosophy', 'Nonfiction', 'Psychology', 'Classics', 'Writing', 'Essays']"
251,46601,An Echo in the Darkness,Francine Rivers,4.62,"38,961 ratings","1,588   reviews","A prosperous trader, Marcus Lucianus Valerian has made a fortune providing sand and slaves for the Roman games. But Hadassah, a slave in his family's household, has enchanted him with her quiet beauty and her staunch faith in Christ. When Marcus' sister sends Hadassah to almost certain death in the games, Marcus feels that his life has been ripped apart. Now he is on his way to Jerusalem to find out more about Hadassah's god, unaware that a miracle awaits him back in Rome.The political intrigue of the imperial city provides a dramatic backdrop for Marcus' spiritual quest. This rich and unforgettable work achieves even greater impact through Richard Ferrone's dramatic narration.",English,English,Paperback,,461 pages,Published       1994        by Tyndale House Publishers,"['Christian Fiction', 'Historical', 'Historical Fiction', 'Christian', 'Fiction', 'Romance', 'Historical']"
252,5348,The Testament,John Grisham,3.85,"96,204 ratings","2,712   reviews","In a plush Virginia office, a rich, angry old man is furiously rewriting his will. With his death just hours away, Troy Phelan wants to send a message to his children, his ex-wives, and his minions, a message that will touch off a vicious legal battle and transform dozens of lives.Because Troy Phelan's new will names a sole surprise heir to his eleven-billion-dollar fortune: a mysterious woman named Rachel Lane, a missionary living deep in the jungles of Brazil.Enter the lawyers. Nate O'Riley is fresh out of rehab, a disgraced corporate attorney handpicked for his last job: to find Rachel Lane at any cost. As Phelan's family circles like vultures in D.C., Nate is crashing through the Brazilian jungle, entering a world where money means nothing, where death is just one misstep away, and where a woman - pursued by enemies and friends alike - holds a stunning surprise of her own.",0440234743,9780440234746,Paperback,,535 pages,Published       December 28th 1999        by Island                       (first published February 2nd 1999),"['Fiction', 'Mystery', 'Thriller']"
253,9681214,The Goddess Test,Aimee Carter,3.81,"51,273 ratings","5,093   reviews","Every girl who had taken the test has died.Now it's Kate's turn.It's always been just Kate and her mom—and her mother is dying. Her last wish? To move back to her childhood home. So Kate's going to start at a new school with no friends, no other family and the fear that her mother won't live past the fall.Then she meets Henry. Dark. Tortured. And mesmerizing. He claims to be Hades, god of the Underworld—and if she accepts his bargain, he'll keep her mother alive while Kate tries to pass seven tests.Kate is sure he's crazy—until she sees him bring a girl back from the dead. Now saving her mother seems crazily possible. If she succeeds, she'll become Henry's future bride and a goddess.If she fails...",0373210264,9780373210268,Paperback,,293 pages,Published       April 19th 2011        by Harlequin Teen,"['Young Adult', 'Fantasy', 'Fantasy', 'Mythology', 'Romance', 'Fantasy', 'Paranormal']"
254,13638125,Vicious,V.E. Schwab,4.25,"73,473 ratings","13,179   reviews","A masterful tale of ambition, jealousy, desire, and superpowers.Victor and Eli started out as college roommates—brilliant, arrogant, lonely boys who recognized the same sharpness and ambition in each other. In their senior year, a shared research interest in adrenaline, near-death experiences, and seemingly supernatural events reveals an intriguing possibility: that under the right conditions, someone could develop extraordinary abilities. But when their thesis moves from the academic to the experimental, things go horribly wrong.Ten years later, Victor breaks out of prison, determined to catch up to his old friend (now foe), aided by a young girl whose reserved nature obscures a stunning ability. Meanwhile, Eli is on a mission to eradicate every other super-powered person that he can find—aside from his sidekick, an enigmatic woman with an unbreakable will. Armed with terrible power on both sides, driven by the memory of betrayal and loss, the archnemeses have set a course for revenge—but who will be left alive at the end?In Vicious, V. E. Schwab brings to life a gritty comic-book-style world in vivid prose: a world where gaining superpowers doesn't automatically lead to heroism, and a time when allegiances are called into question.Listening Length: 9 hours and 55 minutes",0765335344,9780765335340,Hardcover,,368 pages,Published       September 24th 2013        by Tor,"['Fantasy', 'Science Fiction', 'Adult', 'Fiction']"
255,4625,The Complete Short Stories of Ernest Hemingway,Ernest Hemingway,4.29,"32,503 ratings",795   reviews,"THE ONLY COMPLETE COLLECTION BY THE NOBEL PRIZE-WINNING AUTHOR   In this definitive collection of Ernest Hemingway's short stories, readers will delight in the author's most beloved classics such as ""The Snows of Kilimanjaro,"" ""Hills Like White Elephants,"" and ""A Clean, Well-Lighted Place,"" and will discover seven new tales published for the first time in this collection. For Hemingway fans The Complete Short Stories is an invaluable treasury.",0684843323,9780684843322,Paperback,The Finca Vigia Edition,650 pages,Published       August 3rd 1998        by Scribner                       (first published 1925),"['Short Stories', 'Fiction', 'Classics', 'Literature']"
256,618177,Legend,David Gemmell,4.26,"25,145 ratings","1,119   reviews","He is DRUSS the Legend. His skill in battle has earned him a fearsome reputation throughout the world and the stories of his life are told everywhere. But the grizzled veteran has spurned a life of fame and fortune and has retreated to the solitude of his mountain lair to await his old enemy, Death.Meanwhile, barbarian hordes of the Nadir are on the march, conquering all before them. All that stands before them and victory is the legendary six-walled fortress of the Drenai empire, Dros Delnoch. If the fortress falls, so do the Drenai. Druss reluctantly agrees to come out of retirement. But can even Druss live up to his own legends?Held by many to be Gemmell's most iconic work, the book is considered a classic in the heroic fantasy genre.",English,English,Mass Market Paperback,,345 pages,Published       1994        by Ballantine Books                       (first published April 1984),"['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy']"
257,20698530,P.S. I Still Love You,Jenny Han,4.13,"166,064 ratings","19,431   reviews","Lara Jean didn’t expect to really fall for Peter.She and Peter were just pretending. Except suddenly they weren’t. Now Lara Jean is more confused than ever.When another boy from her past returns to her life, Lara Jean’s feelings for him return too. Can a girl be in love with two boys at once?In this charming and heartfelt sequel to the New York Times bestseller To All the Boys I've Loved Before, we see first love through the eyes of the unforgettable Lara Jean. Love is never easy, but maybe that’s part of what makes it so amazing.",144242673X,9781442426733,Hardcover,,337 pages,Published       May 26th 2015        by Simon & Schuster Books for Young Readers,"['Young Adult', 'Romance', 'Contemporary']"
258,19312,The Brothers Lionheart,Astrid Lindgren,4.36,"25,734 ratings",848   reviews,"The Brothers Lionheart (Swedish: Bröderna Lejonhjärta) is a children's fantasy novel written by Astrid Lindgren. It was published in the autumn of 1973 and has been translated into 46 languages. Many of its themes are unusually dark and heavy for the children's book genre. Disease, death, tyranny, betrayal and rebellion are some of the dark themes that permeate the story. The lighter themes of the book involve platonic love, loyalty, hope, courage and pacifism.The two main characters are two brothers; the older Jonatan and the younger Karl. The two brothers' surname was originally Lion, but they are generally known as Lionheart. Karl's nickname is Skorpan (Rusky) since Jonatan likes these typical Swedish toasts or crusts.In Nangijala, a land in ""the campfires and storytelling days"", the brothers experience adventures. Together with a resistance group they lead the struggle against the evil Tengil, who rules with the aid of the fearsome fire-breathing dragon, Katla.",1930900244,9781930900240,Hardcover,,231 pages,Published       December 31st 2004        by Purple House Press                       (first published 1973),"['Fantasy', 'Childrens', 'Classics', 'Fiction']"
259,100924,Perelandra,C.S. Lewis,3.98,"36,976 ratings","2,081   reviews","The second book in C. S. Lewis's acclaimed Space Trilogy, which also includes Out of the Silent Planet and That Hideous Strength, Perelandra continues the adventures of the extraordinary Dr. Ransom. Pitted against the most destructive of human weaknesses, temptation, the great man must battle evil on a new planet  Perelandra  when it is invaded by a dark force. Will Perelandra succumb to this malevolent being, who strives to create a new world order and who must destroy an old and beautiful civilization to do so? Or will it throw off the yoke of corruption and achieve a spiritual perfection as yet unknown to man? The outcome of Dr. Ransom's mighty struggle alone will determine the fate of this peace-loving planet.",0007157169,9780007157167,Paperback,,288 pages,Published       December 5th 2005        by HarperCollins                       (first published 1943),"['Science Fiction', 'Fiction', 'Fantasy', 'Christian', 'Classics']"
260,2855034,Nation,Terry Pratchett,4.07,"30,016 ratings","2,667   reviews","Alone on a desert island — everything and everyone he knows and loves has been washed away in a storm — Mau is the last surviving member of his nation. He’s completely alone — or so he thinks until he finds the ghost girl. She has no toes, wears strange lacy trousers like the grandfather bird, and gives him a stick that can make fire.Daphne, sole survivor of the wreck of the Sweet Judy, almost immediately regrets trying to shoot the native boy. Thank goodness the powder was wet and the gun only produced a spark. She’s certain her father, distant cousin of the Royal family, will come and rescue her but it seems, for now, that all she has for company is the boy and the foul-mouthed ship’s parrot, until other survivors arrive to take refuge on the island. Together, Mau and Daphne discover some remarkable things (including how to milk a pig, and why spitting in beer is a good thing), and start to forge a new nation.Encompassing themes of death and nationhood, Terry Pratchett’s new novel is, as can be expected, extremely funny, witty and wise. Mau’s ancestors have something to teach us all. Mau just wishes they would shut up about it and let him get on with saving everyone’s lives!",0061433012,9780061433016,Hardcover,,367 pages,Published       September 30th 2008        by HarperCollins                       (first published September 2008),"['Fantasy', 'Young Adult', 'Fiction']"
261,13605723,Sentinel,Jennifer L. Armentrout,4.48,"30,629 ratings","3,041   reviews","It's a beautiful day for a war.As the mortal world slowly slips into chaos of the godly kind, Alexandria Andros must overcome a stunning defeat that has left her shaken and in doubt of their ability to end this war once and for all.And with all the obstacles between Alex and her happily-ever-after with the swoonworthy Aiden St. Delphi, they must now trust a deadly foe as they travel deep into the Underworld to release one of the most dangerous gods of all time.In the stunning, action-packed climax to the bestselling Covenant series, Alex must face a terrible choice: the destruction of everything and everyone she holds dear… or the end of herself.",1937053571,9781937053574,Paperback,,297 pages,Published       November 2nd 2013        by Spencer Hill Press,"['Young Adult', 'Fantasy', 'Fantasy', 'Paranormal', 'Fantasy', 'Mythology', 'Romance']"
262,77430,Master and Commander,Patrick O'Brian,4.10,"41,664 ratings","2,946   reviews","As the Royal Navy takes part in the wars against Napoleonic France, young Jack Aubrey receives his first command, the small, old, and slow HMS Sophie. Accompanied by his eccentric new friend, the physician and naturalist Stephen Maturin, Aubrey does battle with the naval hierarchy, with his own tendency to make social blunders, and with the challenges of forging an effective crew -- before ultimately taking on enemy ships in a vivid, intricately detailed series of sea battles.",0393307050,9780393307054,Paperback,,464 pages,Published       August 17th 1990        by W. W. Norton  Company                       (first published 1970),"['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Adventure', 'Classics']"
263,846984,"Love, Stargirl",Jerry Spinelli,3.82,"37,224 ratings","3,085   reviews","LOVE, STARGIRL picks up a year after Stargirl ends and reveals the new life of the beloved character who moved away so suddenly at the end of Stargirl. The novel takes the form of ""the world's longest letter,"" in diary form, going from date to date through a little more than a year's time. In her writing, Stargirl mixes memories of her bittersweet time in Mica, Arizona, with involvements with new people in her life.In Love, Stargirl, we hear the voice of Stargirl herself as she reflects on time, life, Leo, and - of course - love.From the Hardcover edition.",0375913750,9780375913754,Hardcover,,288 pages,Published       August 14th 2007        by Knopf Books for Young Readers                       (first published January 1st 2007),"['Young Adult', 'Fiction', 'Realistic Fiction', 'Romance', 'Contemporary']"
264,48318,The Solitaire Mystery: A Novel About Family and Destiny,Jostein Gaarder,4.17,"19,798 ratings","1,236   reviews","Hans Thomas and his father set out on a car trip through Europe, from Norway to Greece—the birthplace of philosophy—in search of Hans Thomas's mother, who left them many years earlier. On the way, Hans Thomas receives a mysterious miniature book—the fantastic memoir of a sailor shipwrecked in 1842 on a strange island where a deck of cards come to life.Structured as a deck of cards—each chapter is one in the deck—""The Solitaire Mystery"" weaves together fantasy and reality, fairy tales and family history. Full of questions about the meaning of life, it will spur its listeners to reexamine their own.",0374266514,9780374266516,Hardcover,,309 pages,Published       June 1st 1996        by Farrar Straus & Giroux                       (first published 1990),"['Fiction', 'Philosophy', 'Fantasy', 'Young Adult', 'Mystery', 'Novels']"
265,83763,Prey,Michael Crichton,3.75,"153,150 ratings","3,150   reviews","In the Nevada desert, an experiment has gone horribly wrong. A cloud of nanoparticles -- micro-robots -- has escaped from the laboratory. This cloud is self-sustaining and self-reproducing. It is intelligent and learns from experience. For all practical purposes, it is alive.It has been programmed as a predator. It is evolving swiftly, becoming more deadly with each passing hour.Every attempt to destroy it has failed.And we are the prey.",0061015725,9780061015724,Mass Market Paperback,,507 pages,Published       2006        by Avon                       (first published November 25th 2002),"['Fiction', 'Science Fiction', 'Thriller']"
266,26252859,The Hidden Oracle,Rick Riordan,4.27,"85,327 ratings","9,281   reviews","How do you punish an immortal?By making him human.After angering his father Zeus, the god Apollo is cast down from Olympus. Weak and disorientated, he lands in New York City as a regular teenage boy. Now, without his godly powers, the four-thousand-year-old deity must learn to survive in the modern world until he can somehow find a way to regain Zeus's favour.But Apollo has many enemies—gods, monsters and mortals who would love to see the former Olympian permanently destroyed. Apollo needs help, and he can think of only one place to go... an enclave of modern demigods known as Camp Half-Blood.",148473274X,9781484732748,Hardcover,,375 pages,Published       May 3rd 2016        by Disney-Hyperion,"['Fantasy', 'Fantasy', 'Mythology', 'Young Adult', 'Childrens', 'Middle Grade']"
267,28078,The Birth of Venus,Sarah Dunant,3.81,"88,930 ratings","3,167   reviews","Alessandra Cecchi is not quite fifteen when her father, a prosperous cloth merchant, brings a young painter back from northern Europe to decorate the chapel walls in the family’s Florentine palazzo. A child of the Renaissance, with a precocious mind and a talent for drawing, Alessandra is intoxicated by the painter’s abilities.But their burgeoning relationship is interrupted when Alessandra’s parents arrange her marriage to a wealthy, much older man. Meanwhile, Florence is changing, increasingly subject to the growing suppression imposed by the fundamentalist monk Savonarola, who is seizing religious and political control. Alessandra and her native city are caught between the Medici state, with its love of luxury, learning, and dazzling art, and the hellfire preaching and increasing violence of Savonarola’s reactionary followers. Played out against this turbulent backdrop, Alessandra’s married life is a misery, except for the surprising freedom it allows her to pursue her powerful attraction to the young painter and his art. The Birth of Venus is a tour de force, the first historical novel from one of Britain’s most innovative writers of literary suspense. It brings alive the history of Florence at its most dramatic period, telling a compulsively absorbing story of love, art, religion, and power through the passionate voice of Alessandra, a heroine with the same vibrancy of spirit as her beloved city.",0812968972,9780812968972,Paperback,,427 pages,Published       November 30th 2004        by Random House                       (first published March 6th 2003),"['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Cultural', 'Italy', 'Art']"
268,18251020,Life Song,Christine M. Knight,4.21,71 ratings,55   reviews,"Overview: Mavis was born to be a songbird. Her parents named her after one, a bird with a distinctive song worthy of poetry. With her wings clipped by circumstance, Mavis spent six years of her life grounded and her dream of soaring flight almost forgotten. Unexpectedly, Mavis discovers she has a choice: accept a life that is ordinary or be among the one percent that shine. It is a long way to the top in the Australian music industry and more than a name needs to change in order to succeed. It is a gruelling challenge with exhausting demands and subtle traps for the uninitiated. Can Mavis make it? Can she build a better life for herself and her son? Can she have it all? Readership (ages 16+): Every generation that has faced life's challenges and who has tried to find the balance between career, parenthood, and having it all. The themes are discovery, triumphing against the odds, reinvention, disparate families, parenting, friendship, and the nature of love; themes that resonate with all ages. Editorial Review: Christine M Knight's second novel LIFE SONG is a joyfully triumphant confection that resonates with layers of interest. The core of this novel centres on Mavis Mills' resolve to be in charge of her life and captain of her creativity. It is a story that celebrates the power of belief in oneself and of friends and supporters. In terms of its chick-lit appeal, LIFE SONG ticks all the boxes. It is a blend of wry humour and vivid storytelling and the outcome is satisfying without being cloying. There is sizzle but no awkward sex scenes to navigate. Relationships are deftly drawn and realistically portrayed reflecting the passion with which people live life. The story draws from three generations of women who learn to make their own brave, sometimes foolish, sometimes late-applied choices to achieve a better life. Male characters are as diverse and complex as the female characters. LIFE SONG is a story which can be read as an adventure with a wonderfully funny, distinctly visual narrating style. It can also be reflected on as a snapshot of Australian lifestyle and culture in the 1990s. The author has some great insights about the emergence of women who lead their own bands. This is the sort of novel that delights on a day when the sofa calls. Its appeal is universal. To paraphrase Ian 'Molly' Meldrum - readers should do themselves a favour and go out and buy it. This is a winner for booksellers.",1546716548,9781546716549,Paperback,,338 pages,Published       October 14th 2013        by Highlight Publishing                       (first published October 1st 2013),['Contemporary']
269,6944032,Night Pleasures,Sherrilyn Kenyon,4.22,"67,729 ratings","2,672   reviews","The Dark-Hunters are ancient warriors who have sworn to protect mankind and the fate of the world is in their hands. . . He is solitude. He is darkness. He is the ruler of the night. Yet Kyrian of Thrace has just woken up handcuffed to his worst nightmare: An accountant. Worse, she's being hunted by one of the most lethal vampires out there. And if Amanda Devereaux goes down, then he does too. But it's not just their lives that are hanging in the balance.  Kyrian and Amanda are all that stands between humanity and oblivion. Let's hope they win.",0312593554,9780312593551,Hardcover,,309 pages,Published       September 15th 2009        by St. Martin's Press                       (first published October 13th 2002),"['Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Romance', 'Fantasy', 'Paranormal', 'Vampires', 'Fantasy', 'Urban Fantasy']"
270,262430,Gregor the Overlander,Suzanne Collins,4.01,"84,560 ratings","6,036   reviews","This irresistible first novel tells the story of a quiet boy who embarks on a dangerous quest in order to fulfill his destiny—and find his father—in a strange world beneath New York City.When Gregor falls through a grate in the laundry room of his apartment building, he hurtles into the dark Underland, where spiders, rats, cockroaches coexist uneasily with humans. This world is on the brink of war, and Gregor's arrival is no accident. A prophecy foretells that Gregor has a role to play in the Underland's uncertain future. Gregor wants no part of it -- until he realizes it's the only way to solve the mystery of his father's disappearance. Reluctantly, Gregor embarks on a dangerous adventure that will change both him and the Underland forever.",043977134X,9780439771344,Paperback,,326 pages,Published       May 1st 2005        by Scholastic                       (first published September 1st 2003),"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Middle Grade', 'Adventure', 'Childrens']"
271,36236124,Fight Club,Chuck Palahniuk,4.19,"453,594 ratings","13,146   reviews","Chuck Palahniuk showed himself to be his generation’s most visionary satirist in this, his first book. Fight Club’s estranged narrator leaves his lackluster job when he comes under the thrall of Tyler Durden, an enigmatic young man who holds secret after-hours boxing matches in the basement of bars. There, two men fight ""as long as they have to."" This is a gloriously original work that exposes the darkness at the core of our modern world.",0393355942,9780393355949,Paperback,,224 pages,Published       May 1st 2018        by W. W. Norton  Company                       (first published 1996),"['Fiction', 'Contemporary', 'Thriller', 'Classics', 'Novels']"
272,38822883,Alexander Crowley - A New King in Town,Don Barr,4.41,"1,537 ratings",17   reviews,"Set in St Ives the Cornish boutique holiday resort this fast paced page turning adventure fantasy draws on the locality, traditions, religions and myths for its themes.  Starring Alexander Crowley a smart arsed shoot from the hip trickster (Supposedly the bastard Great Grandson of Aleister Crowley the 20th Century Occultist) who is on the run from his recent escapades.  He decides to lay low in a holiday home borrowed from a dubious benefactor and his swashbuckling adventures throughout the summer draw on supernatural foundations and circumstances that are well researched and contain a modicum of reality. From the minute he enters the town our hero is pitched at odds with the local mobsters, demons and deities.  There is an intriguing and exciting cast of supporting characters who are a delight; Booby De-Faux - a needy “Sidekick” The Spirit Saint who acts as “Minder” supported by her mysterious cat “The Black Manilishi” A Vampire assassin and a Killer King are also along for the ride and even romance is on the cards as our character, a renowned and successful womaniser seems this time to be looking for a meaningful relationship amongst all the chaos.  Strap in! ",None,Combine,Kindle Edition,,182 pages,Published       January 30th 2018        by Between the Lines Publishing,"['Fiction', 'Novels']"
273,9378297,Anna Dressed in Blood,Kendare Blake,3.94,"88,818 ratings","9,473   reviews","Cas Lowood has inherited an unusual vocation: He kills the dead.So did his father before him, until he was gruesomely murdered by a ghost he sought to kill. Now, armed with his father's mysterious and deadly athame, Cas travels the country with his kitchen-witch mother and their spirit-sniffing cat. They follow legends and local lore, destroy the murderous dead, and keep pesky things like the future and friends at bay.Searching for a ghost the locals call Anna Dressed in Blood, Cas expects the usual: track, hunt, kill. What he finds instead is a girl entangled in curses and rage, a ghost like he's never faced before. She still wears the dress she wore on the day of her brutal murder in 1958: once white, now stained red and dripping with blood. Since her death, Anna has killed any and every person who has dared to step into the deserted Victorian she used to call home.Yet she spares Cas's life.",0765328658,9780765328656,Hardcover,First Edition,316 pages,Published       October 17th 2011        by Tor Teen,"['Young Adult', 'Horror', 'Fantasy', 'Paranormal', 'Fantasy', 'Paranormal', 'Ghosts', 'Romance', 'Fantasy', 'Supernatural', 'Fiction', 'Fantasy', 'Urban Fantasy', 'Mystery']"
274,21031,When Nietzsche Wept,Irvin D. Yalom,4.31,"37,514 ratings","2,297   reviews","A richly evocative novel set in 19th-century Vienna on the eve of the birth of psychoanalysis.Факти і вигадка, пристрасть і огида, зобов’язання і свобода — драматичні події розгортаються напередодні зародження психоаналізу. Ця книга — фантазія автора про те, що було б, якби три найвизначніші особистості XIX століття зустрілися та почали надавати своєрідну психотерапевтичну допомогу один одному. Перед читачем постають карколомні перипетії, невипадкові зустрічі, бентежні мандрівки вглиб душі. Тут і доктор Броєр із власними моральними проблемами, і допитливий медик-інтерн Зіґмунд Фройд, і те, про що говорили ці двоє в той час, коли Ніцше плакав…",0060748125,9780060748128,Paperback,,310 pages,Published       January 4th 2005        by Harper Perennial                       (first published 1992),"['Psychology', 'Fiction', 'Philosophy', 'Historical', 'Historical Fiction', 'Novels', 'Literature', 'Literature', 'American', 'Historical', 'Roman', 'Contemporary']"
275,31336,The Tale of the Body Thief,Anne Rice,3.72,"77,064 ratings","1,336   reviews","In a gripping feat of storytelling, Anne Rice continues the extraordinary Vampire Chronicles that began with the now-classic Interview with the Vampire. For centuries, Lestat—vampire-hero, enchanter, seducer of mortals—has been a courted prince in the dark and flourishing universe of the living dead. Now he is alone. And in his overwhelming need to destroy his doubts and his loneliness, Lestat embarks on the most dangerous enterprise he has undertaken in all the years of his haunted existence. Praise for The Tale of the Body Thief  “Tinged with mystery, full of drama . . . The story is involving, the twists surprising.”—People   “Rice is our modern messenger of the occult, whose nicely updated dark-side passion plays twist and turn in true Gothic form.”—San Francisco Chronicle  “Fast-paced . . . . mesmerizing . . . silkenly sensuous . . . No one writing today matches her deftness with the erotic.”—The Atlanta Journal-Constitution  “Hypnotic . . . masterful.”—CosmopolitanFrom the Paperback edition.",0345419634,9780345419637,Paperback,,468 pages,Published       2005        by Ballantine Books                       (first published October 4th 1992),"['Horror', 'Fantasy', 'Paranormal', 'Vampires', 'Fiction', 'Fantasy', 'Paranormal']"
276,46227,Ask the Dust,John Fante,4.12,"25,196 ratings","1,737   reviews","Ask the Dust is the story of Arturo Bandini, a young Italian-American writer in 1930s Los Angeles who falls hard for the elusive, mocking, unstable Camilla Lopez, a Mexican waitress. Struggling to survive, he perseveres until, at last, his first novel is published. But the bright light of success is extinguished when Camilla has a nervous breakdown and disappears . . . and Bandini forever rejects the writer's life he fought so hard to attain.",0060822554,9780060822552,Paperback,,165 pages,Published       February 7th 2006        by Ecco                       (first published 1939),"['Fiction', 'Classics', 'Novels', 'Literature', 'American', 'Literature']"
277,254308,Oblomov,Ivan Goncharov,4.04,"26,179 ratings",822   reviews,"The novel evolved and expanded from an 1849 short story or sketch entitled ""Oblomov's Dream"". The novel focuses on the midlife crisis of the main character, Ilya Ilyich Oblomov, an upper middle class son of a member of Russia's nineteenth century landed gentry. Oblomov's distinguishing characteristic is his slothful attitude towards life. While a common negative characteristic, Oblomov raises this trait to an art form, conducting his little daily business apathetically from his bed. While clearly comedic, the novel also seriously examines many critical issues that faced Russian society in the nineteenth century. Some of these problems included the uselessness of landowners and gentry in a feudal society that did not encourage innovation or reform, the complex relations between members of different classes of society such as Oblomov's relationship with his servant Zakhar, and courtship and matrimony by the elite.",1933480092,9781933480091,Paperback,,586 pages,Published       October 12th 2006        by Bunim & Bannigan Ltd                       (first published 1859),"['Classics', 'Fiction', 'Cultural', 'Russia', 'Literature', 'Russian Literature', 'Literature']"
278,172327,The Ersatz Elevator,Lemony Snicket,4.03,"113,256 ratings","3,039   reviews","
Dear Reader,
If you have just picked up this book, then it is not too late to put it back down. Like the previous books in A SERIES OF UNFORTUNATE EVENTS, there is nothing to be found in these pages but misery, despair, and discomfort, and you still have time to choose something else to read.Within the chapters of this story, Violet, Klaus and Sunny Baudelaire encounter a darkened staircase, a red herring, some friends in a dire situation, three mysterious initials, a liar with an evil scheme, a secret passageway, and parsley soda.I have sworn to write down these tales of the Baudelaire orphans so the general public will know each terrible thing that has happened to them, but if you decide to read something else instead, you will save yourself from a heapful of horror and woe.
With all due respect,
Lemony Snicket",0060566213,9780060566210,Hardcover,First Edition,259 pages,Published       February 20th 2001        by HarperCollins Publishers,"['Fiction', 'Young Adult', 'Childrens', 'Fantasy', 'Mystery', 'Childrens', 'Middle Grade', 'Adventure', 'Humor', 'Audiobook', 'Childrens', 'Juvenile']"
279,30324,Blood and Chocolate,Annette Curtis Klause,3.78,"36,866 ratings","2,181   reviews","Vivian Gandillon relishes the change, the sweet, fierce ache that carries her from girl to wolf. At sixteen, she is beautiful and strong, and all the young wolves are on her tail. But Vivian still grieves for her dead father; her pack remains leaderless and in disarray, and she feels lost in the suburbs of Maryland. She longs for a normal life. But what is normal for a werewolf?Then Vivian falls in love with a human, a meat-boy. Aiden is kind and gentle, a welcome relief from the squabbling pack. He’s fascinated by magic, and Vivian longs to reveal herself to him. Surely he would understand her and delight in the wonder of her dual nature, not fear her as an ordinary human would.Vivian’s divided loyalties are strained further when a brutal murder threatens to expose the pack. Moving between two worlds, she does not seem to belong in either. What is she really—human or beast? Which tastes sweeter—blood or chocolate?",0440226686,9780440226680,Mass Market Paperback,,264 pages,Published       September 7th 1999        by Laurel Leaf                       (first published August 11th 1997),"['Young Adult', 'Fantasy', 'Romance', 'Fantasy', 'Paranormal', 'Shapeshifters', 'Werewolves', 'Fantasy', 'Urban Fantasy', 'Fiction', 'Fantasy', 'Supernatural', 'Romance', 'Paranormal Romance', 'Young Adult', 'Teen']"
280,259836,Dragons of Autumn Twilight,Margaret Weis,3.99,"101,854 ratings","1,945   reviews","Life-long friends, they went their separate ways. Now they are together again, though each holds secrets from the others in his heart. They speak of a world shadowed with rumors of war. They speak of tales with strange monsters, creatures of myth, creatures of legend. They do not speak of their secrets. Not then. Not until a chanced encounter with a beautiful, sorrowful woman who bears a magical crystal staff draws the companions deeper into the shadow forever changing their lives and shaping the fate of the world.No one expected them to be heroes.Least of all themselves.",0786915749,9780786915743,Paperback,,444 pages,Published       February 1st 2000        by Wizards of the Coast                       (first published November 12th 1984),"['Fantasy', 'Dungeons and Dragons', 'Dragonlance', 'Fiction', 'Fantasy', 'Dragons', 'Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Fantasy', 'Epic Fantasy', 'Adventure', 'Fantasy', 'Magic', 'Young Adult']"
